Station Code,Soil Class,Lat (°N),Lon (°E),X (m),Y (m),Repi (km),Monitor ID,X_mon(m),Y_mon(m),dist mon-SM (m),,
MIR01,C*,44.844,11.071,663669.043,4967707.358,1.410,18446,663690.000,4967900.000,193.779,,
MRN,C,44.878,11.062,662861.858,4971466.152,4.100,16928,662793.600,4971388.000,103.764,,
MIR02,C*,44.887,11.073,663705.131,4972488.051,4.120,18437,663690.000,4972400.000,89.342,,
SAN0,C*,44.838,11.143,669376.735,4967188.474,4.700,17670,669354.900,4967100.000,91.128,,
MIR08,C*,44.917,11.090,664961.778,4975855.058,7.330,15045,664786.000,4975704.000,231.768,,
T0802,C*,44.875,11.182,672348.739,4971380.691,8.010,16909,672266.400,4971388.000,82.663,,
T0813,C*,44.878,11.199,673682.486,4971750.186,9.430,16532,673512.700,4971819.000,183.201,,
MIR03,C*,44.938,11.105,666085.162,4978218.485,9.820,13249,666280.700,4978294.000,209.613,,
T0818,C*,44.935,11.030,660175.973,4977734.334,10.300,13781,660049.100,4977863.000,180.698,,
MIR04,C*,44.927,11.178,671877.717,4977148.666,11.200,13916,672014.500,4976999.000,202.754,,
T0814,C*,44.793,10.969,655745.349,4961841.568,11.240,16236,655553.800,4961972.000,231.740,,
T0800,C*,44.849,11.248,677641.845,4968634.744,12.800,17724,677754.500,4968798.000,198.352,,
T0811,C*,44.784,11.227,676180.287,4961368.532,13.390,16294,676239.800,4961544.000,185.286,,
T0812,C*,44.955,11.181,672030.788,4980265.449,13.750,12052,672013.100,4980452.000,187.387,,
MIR05,C*,44.981,11.107,666118.785,4982999.314,14.520,10265,666029.600,4983042.000,98.874,,
SMS0,C*,44.934,11.235,676354.469,4978048.665,15.000,13497,676501.200,4977862.000,237.432,,
RAV0,C*,44.716,11.143,669733.927,4953636.265,15.700,12306,669761.800,4953774.000,140.527,,
FIN0,C*,44.830,11.287,680783.157,4966610.193,16.000,17869,680787.400,4966684.000,73.929,,
T0824,C*,44.759,10.928,652591.840,4957986.994,16.150,14652,652808.500,4958091.000,240.331,,
MOG0,C*,44.932,10.912,650873.097,4977174.761,16.400,14120,650826.400,4977431.000,260.459,,
CRP,C*,44.782,10.870,647942.658,4960434.744,18.700,13346,647720.700,4960418.000,222.588,,
T0805,C*,44.919,11.323,683345.929,4976577.548,20.150,14521,683232.800,4976567.000,113.620,,
MIR06,C*,45.040,11.087,664373.038,4989512.669,21.020,3298,664282.700,4989517.000,90.442,,
CNT,C*,44.723,11.287,681117.501,4954724.230,21.300,12720,681227.900,4954637.000,140.702,,
T0803,C*,44.767,11.351,686044.710,4959756.329,22.940,15196,686211.300,4959816.000,176.954,,
SERM,C*,45.010,11.296,680928.493,4986625.766,24.220,6833,680984.700,4986496.000,141.416,,
SAG0,C*,44.791,11.390,689052.586,4962512.314,25.000,15406,689220.800,4962422.000,190.925,,
CAS05,C*,44.802,11.410,690598.389,4963780.955,26.170,14506,690517.100,4963670.000,137.546,,
CAS0,C*,45.025,11.311,682062.953,4988325.709,26.300,5576,681981.200,4988222.000,132.057,,
BON0,C*,44.886,11.418,690953.223,4973130.885,26.500,14279,690948.300,4973378.000,247.164,,
MODE,C*,44.630,10.949,654596.858,4943697.008,26.870,3695,654559.800,4943846.000,153.531,,
MDN,C,44.647,10.890,649873.104,4945475.199,27.500,4506,650072.300,4945572.000,221.471,,
NVL,C,44.842,10.731,636803.859,4966856.282,28.100,5782,636937.700,4966647.000,248.420,,
