Station Code,Monitor ID,Repi (km),E_UTM [m],N_UTM [m],LON [°],LAT [°]
PPE,1,39.8773,632624.9000,4992539.0000,999.0000,999.0000
PPE,2,39.5811,632624.9000,4992041.0000,999.0000,999.0000
PPE,3,39.4202,632953.5000,4992215.0000,999.0000,999.0000
PPE,4,41.7043,633123.4000,4941256.0000,999.0000,999.0000
PPE,5,41.6214,632952.1000,4941581.0000,999.0000,999.0000
PPE,6,42.0814,632624.9000,4941256.0000,999.0000,999.0000
PPE,7,50.1697,706906.7000,4941754.0000,999.0000,999.0000
PPE,8,49.9867,706578.1000,4941580.0000,999.0000,999.0000
PPE,9,50.4385,706906.7000,4941256.0000,999.0000,999.0000
PPE,10,31.1364,633487.4000,4970631.0000,999.0000,999.0000
PPE,11,31.1719,633487.4000,4971129.0000,999.0000,999.0000
PPE,12,31.5833,633056.2000,4970880.0000,999.0000,999.0000
PPE,13,38.7179,632624.9000,4990548.0000,999.0000,999.0000
PPE,14,38.4992,633071.0000,4990807.0000,999.0000,999.0000
PPE,15,39.0010,632624.9000,4991045.0000,999.0000,999.0000
PPE,16,28.5029,636075.1000,4969635.0000,999.0000,999.0000
PPE,17,28.5243,636075.1000,4970132.0000,999.0000,999.0000
PPE,18,28.9434,635643.8000,4969884.0000,999.0000,999.0000
PPE,19,37.7122,633505.0000,4990053.0000,999.0000,999.0000
PPE,20,37.4810,633954.4000,4990293.0000,999.0000,999.0000
PPE,21,37.9867,633524.5000,4990561.0000,999.0000,999.0000
PPE,22,23.2849,661041.6000,4991676.0000,999.0000,999.0000
PPE,23,23.7493,660792.3000,4992107.0000,999.0000,999.0000
PPE,24,23.3654,660543.1000,4991676.0000,999.0000,999.0000
PPE,25,37.8355,634868.6000,4992108.0000,999.0000,999.0000
PPE,26,38.2289,634368.9000,4992108.0000,999.0000,999.0000
PPE,27,37.7729,634614.5000,4991680.0000,999.0000,999.0000
PPE,28,31.6689,633056.2000,4971876.0000,999.0000,999.0000
PPE,29,31.7234,633056.2000,4972374.0000,999.0000,999.0000
