Station Code,Monitor ID,Repi [km],E_UTM [m],N_UTM [m],LON [dd],LAT [dd]
G07,28,13.7526595657,663690,4967900,11.071,44.844
G08,29,13.716760373,662793.6,4971388,11.062,44.878
G09,30,13.6514827447,663690,4972400,11.073,44.887
G10,31,13.5499492667,669354.9,4967100,11.143,44.838
1G1,28,13.7526595657,664786,4975704,11.09,44.917
SG1,19,13.5872389431,672266.4,4971388,11.182,44.875
SG2,20,13.548024922,673512.7,4971819,11.199,44.878
SG3,21,13.5086267477,666280.7,4978294,11.105,44.938
SG4,22,13.3870864152,666281.7,4978295,12.105,45.938
NIG016,14,25.6069022509,666282.7,4978296,13.105,46.938
NIG018,16,18.8149257301,666283.7,4978297,14.105,47.938
