E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.812000,            0.831000,            0.821000,
       632624.900000,      4992041.000000,            1.009000,            0.787000,            0.891000,
       632953.500000,      4992215.000000,            0.930000,            0.882000,            0.905000,
       633123.400000,      4941256.000000,            0.617000,            0.635000,            0.626000,
       632952.100000,      4941581.000000,            0.714000,            0.771000,            0.742000,
       632624.900000,      4941256.000000,            0.821000,            0.802000,            0.811000,
       706906.700000,      4941754.000000,            0.648000,            0.653000,            0.651000,
       706578.100000,      4941580.000000,            0.714000,            0.704000,            0.709000,
       706906.700000,      4941256.000000,            0.535000,            0.818000,            0.662000,
       633487.400000,      4970631.000000,            0.839000,            1.058000,            0.942000,
       633487.400000,      4971129.000000,            0.922000,            1.190000,            1.048000,
       633056.200000,      4970880.000000,            0.770000,            1.001000,            0.878000,
       632624.900000,      4990548.000000,            0.871000,            0.956000,            0.912000,
       633071.000000,      4990807.000000,            1.064000,            1.161000,            1.111000,
       632624.900000,      4991045.000000,            1.062000,            0.768000,            0.903000,
       636075.100000,      4969635.000000,            1.301000,            1.075000,            1.183000,
       636075.100000,      4970132.000000,            0.975000,            1.116000,            1.043000,
       635643.800000,      4969884.000000,            1.270000,            1.067000,            1.164000,
       633505.000000,      4990053.000000,            0.817000,            1.035000,            0.919000,
       633954.400000,      4990293.000000,            1.135000,            0.875000,            0.997000,
       633524.500000,      4990561.000000,            0.810000,            0.808000,            0.809000,
       661041.600000,      4991676.000000,            1.221000,            1.424000,            1.318000,
       660792.300000,      4992107.000000,            1.655000,            1.403000,            1.524000,
       660543.100000,      4991676.000000,            1.148000,            1.372000,            1.255000,
       634868.600000,      4992108.000000,            0.895000,            0.878000,            0.886000,
       634368.900000,      4992108.000000,            0.831000,            0.822000,            0.826000,
       634614.500000,      4991680.000000,            0.770000,            0.918000,            0.841000,
       633056.200000,      4971876.000000,            1.363000,            1.178000,            1.267000,
       633056.200000,      4972374.000000,            0.939000,            0.919000,            0.929000,
       632624.900000,      4972125.000000,            0.905000,            1.184000,            1.035000,
       632624.900000,      4987062.000000,            1.040000,            1.149000,            1.093000,
       633056.200000,      4987311.000000,            0.784000,            1.060000,            0.912000,
       632624.900000,      4987560.000000,            1.001000,            0.839000,            0.917000,
       636364.100000,      4992107.000000,            0.980000,            0.853000,            0.914000,
       635865.500000,      4992107.000000,            0.815000,            0.876000,            0.845000,
       636114.900000,      4991676.000000,            0.922000,            0.856000,            0.889000,
       657303.200000,      4989517.000000,            1.305000,            1.553000,            1.424000,
       657801.700000,      4989517.000000,            1.296000,            1.444000,            1.368000,
       657552.300000,      4989949.000000,            1.550000,            1.639000,            1.594000,
       634781.100000,      4985816.000000,            1.415000,            0.859000,            1.102000,
       635212.200000,      4986065.000000,            0.866000,            0.924000,            0.894000,
       634781.000000,      4986314.000000,            0.997000,            0.959000,            0.978000,
       637361.100000,      4992107.000000,            0.876000,            0.913000,            0.894000,
       637610.500000,      4991676.000000,            0.826000,            1.087000,            0.948000,
