E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.044000,            0.028000,            0.035000,
       632624.900000,      4992041.000000,            0.076000,            0.018000,            0.037000,
       632953.500000,      4992215.000000,            0.471000,            0.367000,            0.416000,
       633123.400000,      4941256.000000,            0.011000,            0.055000,            0.024000,
       632952.100000,      4941581.000000,            0.075000,            0.101000,            0.087000,
       632624.900000,      4941256.000000,            0.014000,            0.012000,            0.013000,
       706906.700000,      4941754.000000,            0.010000,            0.005000,            0.007000,
       706578.100000,      4941580.000000,            0.050000,            0.078000,            0.062000,
       706906.700000,      4941256.000000,            0.005000,            0.003000,            0.004000,
       633487.400000,      4970631.000000,            0.208000,            0.144000,            0.173000,
       633487.400000,      4971129.000000,            0.236000,            0.247000,            0.241000,
       633056.200000,      4970880.000000,            0.227000,            0.186000,            0.205000,
       632624.900000,      4990548.000000,            0.044000,            0.036000,            0.040000,
       633071.000000,      4990807.000000,            0.383000,            0.332000,            0.357000,
       632624.900000,      4991045.000000,            0.057000,            0.036000,            0.045000,
       636075.100000,      4969635.000000,            0.227000,            0.266000,            0.246000,
       636075.100000,      4970132.000000,            0.265000,            0.290000,            0.277000,
       635643.800000,      4969884.000000,            0.211000,            0.238000,            0.224000,
       633505.000000,      4990053.000000,            0.336000,            0.500000,            0.410000,
       633954.400000,      4990293.000000,            0.447000,            0.591000,            0.514000,
       633524.500000,      4990561.000000,            0.347000,            0.458000,            0.399000,
       661041.600000,      4991676.000000,            0.243000,            1.295000,            0.561000,
       660792.300000,      4992107.000000,            0.264000,            1.077000,            0.533000,
       660543.100000,      4991676.000000,            0.194000,            1.182000,            0.478000,
       634868.600000,      4992108.000000,            0.451000,            0.561000,            0.503000,
       634368.900000,      4992108.000000,            0.318000,            0.587000,            0.432000,
       634614.500000,      4991680.000000,            0.204000,            0.485000,            0.314000,
       633056.200000,      4971876.000000,            0.313000,            0.192000,            0.245000,
       633056.200000,      4972374.000000,            0.335000,            0.225000,            0.275000,
       632624.900000,      4972125.000000,            0.032000,            0.014000,            0.021000,
       632624.900000,      4987062.000000,            0.044000,            0.106000,            0.068000,
       633056.200000,      4987311.000000,            0.376000,            0.339000,            0.357000,
       632624.900000,      4987560.000000,            0.108000,            0.101000,            0.104000,
       636364.100000,      4992107.000000,            0.288000,            0.435000,            0.354000,
       635865.500000,      4992107.000000,            0.331000,            0.596000,            0.444000,
       636114.900000,      4991676.000000,            0.263000,            0.591000,            0.395000,
       657303.200000,      4989517.000000,            0.364000,            0.807000,            0.542000,
       657801.700000,      4989517.000000,            0.387000,            0.959000,            0.609000,
       657552.300000,      4989949.000000,            0.351000,            0.989000,            0.589000,
       634781.100000,      4985816.000000,            0.289000,            0.435000,            0.354000,
       635212.200000,      4986065.000000,            0.313000,            0.636000,            0.446000,
       634781.000000,      4986314.000000,            0.287000,            0.654000,            0.433000,
       637361.100000,      4992107.000000,            0.380000,            0.558000,            0.461000,
       637610.500000,      4991676.000000,            0.367000,            0.515000,            0.435000,
       637859.700000,      4992107.000000,            0.468000,            0.425000,            0.446000,
       638358.200000,      4992107.000000,            0.439000,            0.447000,            0.443000,
       638109.100000,      4991676.000000,            0.428000,            0.488000,            0.457000,
       638607.600000,      4991676.000000,            0.493000,            0.525000,            0.509000,
       638856.700000,      4992107.000000,            0.407000,            0.422000,            0.414000,
       633487.400000,      4975112.000000,            0.289000,            0.413000,            0.345000,
       633487.400000,      4975610.000000,            0.309000,            0.438000,            0.368000,
       633056.200000,      4975362.000000,            0.294000,            0.418000,            0.351000,
       650323.000000,      4992107.000000,            0.363000,            0.693000,            0.501000,
       649824.500000,      4992107.000000,            0.385000,            0.678000,            0.511000,
       650073.900000,      4991676.000000,            0.535000,            0.734000,            0.627000,
       643343.800000,      4991244.000000,            0.373000,            0.637000,            0.487000,
       643094.400000,      4991676.000000,            0.354000,            0.745000,            0.514000,
       642845.200000,      4991244.000000,            0.342000,            0.892000,            0.552000,
       640103.500000,      4990812.000000,            0.349000,            0.613000,            0.463000,
       640352.900000,      4990381.000000,            0.390000,            0.666000,            0.509000,
       640602.000000,      4990812.000000,            0.491000,            0.624000,            0.553000,
       641349.400000,      4992107.000000,            0.479000,            0.501000,            0.490000,
       641598.800000,      4991676.000000,            0.404000,            0.832000,            0.580000,
       641847.900000,      4992107.000000,            0.518000,            0.552000,            0.535000,
       632624.900000,      4974117.000000,            0.060000,            0.018000,            0.033000,
       633056.200000,      4974366.000000,            0.334000,            0.343000,            0.339000,
       632624.900000,      4974615.000000,            0.042000,            0.021000,            0.030000,
       633487.400000,      4983079.000000,            0.370000,            0.520000,            0.439000,
       633056.200000,      4982830.000000,            0.259000,            0.452000,            0.342000,
       633487.400000,      4982581.000000,            0.406000,            0.469000,            0.436000,
       643842.100000,      4992107.000000,            0.399000,            0.806000,            0.567000,
       643343.500000,      4992107.000000,            0.412000,            0.576000,            0.487000,
       643592.900000,      4991676.000000,            0.370000,            0.652000,            0.492000,
       644590.200000,      4990812.000000,            0.473000,            0.650000,            0.555000,
       644091.700000,      4990812.000000,            0.365000,            0.659000,            0.490000,
       644341.100000,      4990381.000000,            0.448000,            0.851000,            0.618000,
       645337.700000,      4992107.000000,            0.477000,            0.818000,            0.625000,
       644839.100000,      4992107.000000,            0.440000,            0.801000,            0.593000,
       645088.500000,      4991676.000000,            0.516000,            0.761000,            0.626000,
       633056.200000,      4980838.000000,            0.316000,            0.437000,            0.372000,
       632624.900000,      4980590.000000,            0.116000,            0.080000,            0.096000,
       633056.200000,      4980340.000000,            0.359000,            0.549000,            0.444000,
       632624.900000,      4975611.000000,            0.078000,            0.045000,            0.059000,
       632624.900000,      4975113.000000,            0.053000,            0.030000,            0.040000,
       650821.800000,      4991244.000000,            0.514000,            0.647000,            0.576000,
       651320.300000,      4991244.000000,            0.470000,            0.624000,            0.542000,
       651070.900000,      4991676.000000,            0.467000,            0.758000,            0.595000,
       648329.300000,      4990381.000000,            0.568000,            0.475000,            0.519000,
       647830.800000,      4990381.000000,            0.566000,            0.537000,            0.551000,
       648080.200000,      4989949.000000,            0.594000,            0.666000,            0.629000,
       633056.200000,      4973370.000000,            0.373000,            0.361000,            0.367000,
       633056.200000,      4972872.000000,            0.404000,            0.343000,            0.372000,
       633487.400000,      4973121.000000,            0.377000,            0.373000,            0.375000,
       633487.400000,      4976108.000000,            0.407000,            0.358000,            0.382000,
       633487.400000,      4976606.000000,            0.429000,            0.372000,            0.399000,
       633056.200000,      4976357.000000,            0.448000,            0.293000,            0.362000,
       634349.900000,      4975112.000000,            0.358000,            0.489000,            0.418000,
       634349.900000,      4975610.000000,            0.426000,            0.486000,            0.455000,
       633918.700000,      4975361.000000,            0.270000,            0.485000,            0.362000,
       635212.500000,      4973120.000000,            0.399000,            0.633000,            0.502000,
       635212.500000,      4973618.000000,            0.279000,            0.449000,            0.354000,
       634781.200000,      4973369.000000,            0.390000,            0.606000,            0.486000,
       654809.800000,      4992107.000000,            0.321000,            1.197000,            0.620000,
       655059.200000,      4991676.000000,            0.298000,            1.324000,            0.628000,
       655308.400000,      4992107.000000,            0.279000,            1.188000,            0.576000,
       662288.100000,      4991244.000000,            0.290000,            0.973000,            0.532000,
       662786.600000,      4991244.000000,            0.251000,            0.846000,            0.461000,
       662537.200000,      4991676.000000,            0.197000,            1.158000,            0.477000,
       633918.700000,      4970382.000000,            0.158000,            0.160000,            0.159000,
       633918.700000,      4970880.000000,            0.174000,            0.296000,            0.227000,
       655557.700000,      4991676.000000,            0.288000,            1.221000,            0.593000,
       655806.900000,      4992107.000000,            0.266000,            1.175000,            0.559000,
       655558.200000,      4989949.000000,            0.410000,            0.675000,            0.526000,
       655807.600000,      4989517.000000,            0.379000,            0.530000,            0.448000,
       656056.700000,      4989949.000000,            0.339000,            0.759000,            0.507000,
       663783.500000,      4992107.000000,            0.232000,            0.721000,            0.409000,
       663534.100000,      4992539.000000,            0.016000,            0.168000,            0.052000,
       663284.900000,      4992107.000000,            0.248000,            0.701000,            0.417000,
       662537.000000,      4941256.000000,            0.023000,            0.111000,            0.050000,
       663035.600000,      4941256.000000,            0.021000,            0.120000,            0.050000,
       662786.200000,      4941687.000000,            0.192000,            0.538000,            0.321000,
       665279.100000,      4992107.000000,            0.197000,            0.760000,            0.387000,
       665029.700000,      4992539.000000,            0.019000,            0.170000,            0.057000,
       664780.600000,      4992107.000000,            0.197000,            0.754000,            0.385000,
       663034.200000,      4946436.000000,            0.189000,            0.297000,            0.237000,
       662784.700000,      4946868.000000,            0.181000,            0.370000,            0.259000,
       662535.600000,      4946436.000000,            0.162000,            0.347000,            0.237000,
       666774.700000,      4992107.000000,            0.168000,            0.704000,            0.344000,
       666525.300000,      4992539.000000,            0.016000,            0.139000,            0.047000,
       666276.200000,      4992107.000000,            0.167000,            0.737000,            0.351000,
       661042.600000,      4988222.000000,            0.320000,            1.275000,            0.639000,
       661291.900000,      4987791.000000,            0.299000,            1.334000,            0.631000,
       661541.100000,      4988222.000000,            0.233000,            1.330000,            0.557000,
       668270.300000,      4992107.000000,            0.199000,            0.483000,            0.310000,
       668020.900000,      4992539.000000,            0.008000,            0.081000,            0.026000,
       667771.800000,      4992107.000000,            0.195000,            0.554000,            0.328000,
       662538.200000,      4988222.000000,            0.244000,            1.173000,            0.535000,
       662787.600000,      4987791.000000,            0.272000,            1.096000,            0.546000,
       663036.700000,      4988222.000000,            0.219000,            0.880000,            0.439000,
       669765.900000,      4992107.000000,            0.219000,            0.443000,            0.312000,
       669516.500000,      4992539.000000,            0.014000,            0.095000,            0.036000,
       669267.400000,      4992107.000000,            0.211000,            0.389000,            0.287000,
       664033.800000,      4988222.000000,            0.193000,            0.710000,            0.370000,
       664283.200000,      4987791.000000,            0.241000,            0.743000,            0.423000,
       664532.300000,      4988222.000000,            0.183000,            0.740000,            0.368000,
       671261.500000,      4992107.000000,            0.260000,            0.801000,            0.457000,
       671012.200000,      4992539.000000,            0.017000,            0.123000,            0.045000,
       670763.000000,      4992107.000000,            0.238000,            0.721000,            0.414000,
       665529.400000,      4988222.000000,            0.218000,            0.839000,            0.428000,
       665778.800000,      4987791.000000,            0.252000,            0.813000,            0.453000,
       666027.900000,      4988222.000000,            0.218000,            0.820000,            0.423000,
       672757.100000,      4992107.000000,            0.309000,            0.801000,            0.497000,
       672507.800000,      4992539.000000,            0.019000,            0.101000,            0.044000,
       672258.600000,      4992107.000000,            0.302000,            0.844000,            0.505000,
       667025.000000,      4988222.000000,            0.187000,            0.573000,            0.327000,
       667274.400000,      4987791.000000,            0.216000,            0.583000,            0.354000,
       667523.500000,      4988222.000000,            0.209000,            0.480000,            0.317000,
       674252.700000,      4992107.000000,            0.291000,            0.610000,            0.421000,
       674003.400000,      4992539.000000,            0.024000,            0.100000,            0.049000,
       673754.200000,      4992107.000000,            0.293000,            0.634000,            0.431000,
       668520.600000,      4988222.000000,            0.221000,            0.476000,            0.324000,
       668770.000000,      4987791.000000,            0.260000,            0.513000,            0.366000,
       669019.100000,      4988222.000000,            0.232000,            0.461000,            0.327000,
       675748.300000,      4992107.000000,            0.248000,            0.560000,            0.373000,
       675499.000000,      4992539.000000,            0.026000,            0.095000,            0.049000,
       675249.800000,      4992107.000000,            0.274000,            0.578000,            0.398000,
       670016.200000,      4988222.000000,            0.267000,            0.432000,            0.340000,
       670265.600000,      4987791.000000,            0.304000,            0.521000,            0.398000,
       670514.700000,      4988222.000000,            0.287000,            0.466000,            0.366000,
       677243.900000,      4992107.000000,            0.236000,            0.513000,            0.348000,
       676994.600000,      4992539.000000,            0.027000,            0.102000,            0.052000,
       676745.400000,      4992107.000000,            0.237000,            0.506000,            0.347000,
       671511.800000,      4988222.000000,            0.271000,            0.613000,            0.407000,
       671761.200000,      4987791.000000,            0.277000,            0.625000,            0.416000,
       672010.300000,      4988222.000000,            0.281000,            0.584000,            0.405000,
       678739.600000,      4992107.000000,            0.231000,            0.416000,            0.310000,
       678490.200000,      4992539.000000,            0.030000,            0.097000,            0.053000,
       678241.000000,      4992107.000000,            0.209000,            0.471000,            0.313000,
       677493.100000,      4941256.000000,            0.015000,            0.046000,            0.027000,
       677991.700000,      4941256.000000,            0.028000,            0.042000,            0.034000,
       677742.300000,      4941687.000000,            0.181000,            0.212000,            0.196000,
       676993.200000,      4946436.000000,            0.170000,            0.256000,            0.209000,
       676743.800000,      4946868.000000,            0.131000,            0.199000,            0.161000,
       676494.700000,      4946436.000000,            0.173000,            0.237000,            0.203000,
       674502.800000,      4989086.000000,            0.302000,            0.379000,            0.339000,
       674752.200000,      4988654.000000,            0.294000,            0.369000,            0.330000,
       675001.300000,      4989086.000000,            0.319000,            0.376000,            0.347000,
       681232.200000,      4992107.000000,            0.258000,            0.315000,            0.285000,
       681730.800000,      4992107.000000,            0.237000,            0.301000,            0.267000,
       681481.400000,      4992539.000000,            0.023000,            0.084000,            0.044000,
       675998.700000,      4988222.000000,            0.308000,            0.410000,            0.356000,
       676248.100000,      4987791.000000,            0.306000,            0.483000,            0.384000,
       676497.200000,      4988222.000000,            0.313000,            0.446000,            0.374000,
       683226.400000,      4992107.000000,            0.279000,            0.294000,            0.286000,
       682977.000000,      4992539.000000,            0.029000,            0.073000,            0.046000,
       682727.800000,      4992107.000000,            0.259000,            0.282000,            0.271000,
       677494.300000,      4988222.000000,            0.292000,            0.438000,            0.357000,
       677743.700000,      4987791.000000,            0.279000,            0.527000,            0.383000,
       677992.800000,      4988222.000000,            0.288000,            0.415000,            0.346000,
       705612.900000,      4963910.000000,            0.055000,            0.043000,            0.049000,
       705612.900000,      4963412.000000,            0.057000,            0.035000,            0.045000,
       706044.200000,      4963661.000000,            0.072000,            0.048000,            0.059000,
       704750.400000,      4964409.000000,            0.054000,            0.044000,            0.049000,
       704750.400000,      4963911.000000,            0.051000,            0.053000,            0.052000,
       705181.700000,      4964160.000000,            0.045000,            0.053000,            0.049000,
       685719.100000,      4992107.000000,            0.265000,            0.262000,            0.264000,
       686217.600000,      4992107.000000,            0.263000,            0.266000,            0.264000,
       685968.200000,      4992539.000000,            0.022000,            0.067000,            0.039000,
       688711.100000,      4989517.000000,            0.255000,            0.214000,            0.234000,
       688461.600000,      4989949.000000,            0.269000,            0.183000,            0.222000,
       688212.500000,      4989517.000000,            0.262000,            0.219000,            0.240000,
       683475.600000,      4992539.000000,            0.025000,            0.071000,            0.043000,
       690455.500000,      4990812.000000,            0.236000,            0.112000,            0.162000,
       690206.100000,      4991244.000000,            0.182000,            0.127000,            0.153000,
       689957.000000,      4990812.000000,            0.242000,            0.125000,            0.174000,
       706044.200000,      4980590.000000,            0.141000,            0.073000,            0.101000,
       706475.500000,      4980839.000000,            0.125000,            0.110000,            0.118000,
       706044.200000,      4981088.000000,            0.126000,            0.087000,            0.105000,
       689458.000000,      4992539.000000,            0.027000,            0.058000,            0.040000,
       689707.300000,      4992107.000000,            0.282000,            0.153000,            0.208000,
       689956.500000,      4992539.000000,            0.024000,            0.053000,            0.036000,
       696687.500000,      4990381.000000,            0.130000,            0.107000,            0.118000,
       697186.000000,      4990381.000000,            0.132000,            0.123000,            0.127000,
       696936.600000,      4990812.000000,            0.110000,            0.108000,            0.109000,
       695689.800000,      4992107.000000,            0.151000,            0.119000,            0.134000,
       695440.400000,      4992539.000000,            0.016000,            0.037000,            0.024000,
       695191.300000,      4992107.000000,            0.143000,            0.080000,            0.107000,
       693447.100000,      4989949.000000,            0.133000,            0.127000,            0.130000,
       692948.500000,      4989949.000000,            0.141000,            0.116000,            0.128000,
       693198.000000,      4989517.000000,            0.157000,            0.149000,            0.153000,
       695690.700000,      4989517.000000,            0.095000,            0.082000,            0.089000,
       696189.300000,      4989517.000000,            0.107000,            0.106000,            0.107000,
