E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       632624.900000,      4992539.000000,            0.409000,            0.486000,            0.446000,            0.075000,            0.631000,
       632624.900000,      4992041.000000,            0.345000,            0.439000,            0.389000,            0.556000,            0.048000,
       632953.500000,      4992215.000000,            0.437000,            0.431000,            0.434000,            0.613000,            0.024000,
       633123.400000,      4941256.000000,            0.390000,            0.492000,            0.438000,            0.092000,            0.621000,
       632952.100000,      4941581.000000,            0.346000,            0.381000,            0.363000,            0.042000,            0.513000,
       632624.900000,      4941256.000000,            0.420000,            0.472000,            0.445000,            0.057000,            0.629000,
       706906.700000,      4941754.000000,            0.404000,            0.305000,            0.351000,            0.053000,            0.503000,
       706578.100000,      4941580.000000,            0.315000,            0.345000,            0.330000,            0.037000,            0.466000,
       706906.700000,      4941256.000000,            0.293000,            0.357000,            0.323000,            0.060000,            0.458000,
       633487.400000,      4970631.000000,            0.542000,            0.638000,            0.588000,            0.836000,            0.040000,
       633487.400000,      4971129.000000,            0.466000,            0.535000,            0.499000,            0.709000,            0.026000,
       633056.200000,      4970880.000000,            0.561000,            0.544000,            0.553000,            0.014000,            0.782000,
       632624.900000,      4990548.000000,            0.386000,            0.374000,            0.380000,            0.536000,            0.026000,
       633071.000000,      4990807.000000,            0.577000,            0.489000,            0.531000,            0.752000,            0.087000,
       632624.900000,      4991045.000000,            0.428000,            0.463000,            0.445000,            0.630000,            0.004000,
       636075.100000,      4969635.000000,            0.618000,            0.551000,            0.583000,            0.020000,            0.828000,
       636075.100000,      4970132.000000,            0.693000,            0.627000,            0.660000,            0.015000,            0.935000,
       635643.800000,      4969884.000000,            0.678000,            0.572000,            0.623000,            0.881000,            0.104000,
       633505.000000,      4990053.000000,            0.442000,            0.565000,            0.500000,            0.111000,            0.709000,
       633954.400000,      4990293.000000,            0.428000,            0.497000,            0.461000,            0.070000,            0.652000,
       633524.500000,      4990561.000000,            0.474000,            0.378000,            0.423000,            0.600000,            0.088000,
       661041.600000,      4991676.000000,            0.702000,            0.721000,            0.712000,            0.046000,            1.005000,
       660792.300000,      4992107.000000,            0.724000,            0.749000,            0.736000,            0.052000,            1.040000,
       660543.100000,      4991676.000000,            0.639000,            0.764000,            0.698000,            0.121000,            0.988000,
       634868.600000,      4992108.000000,            0.480000,            0.446000,            0.462000,            0.002000,            0.655000,
       634368.900000,      4992108.000000,            0.554000,            0.445000,            0.496000,            0.054000,            0.708000,
       634614.500000,      4991680.000000,            0.474000,            0.511000,            0.492000,            0.049000,            0.695000,
       633056.200000,      4971876.000000,            0.494000,            0.527000,            0.510000,            0.047000,            0.721000,
       633056.200000,      4972374.000000,            0.542000,            0.519000,            0.530000,            0.009000,            0.750000,
       632624.900000,      4972125.000000,            0.567000,            0.501000,            0.533000,            0.753000,            0.072000,
       632624.900000,      4987062.000000,            0.432000,            0.515000,            0.472000,            0.672000,            0.037000,
       633056.200000,      4987311.000000,            0.430000,            0.540000,            0.482000,            0.688000,            0.056000,
       632624.900000,      4987560.000000,            0.442000,            0.435000,            0.439000,            0.620000,            0.026000,
       636364.100000,      4992107.000000,            0.475000,            0.562000,            0.517000,            0.735000,            0.037000,
       635865.500000,      4992107.000000,            0.447000,            0.520000,            0.482000,            0.685000,            0.028000,
       636114.900000,      4991676.000000,            0.485000,            0.411000,            0.447000,            0.632000,            0.073000,
       657303.200000,      4989517.000000,            0.729000,            1.001000,            0.854000,            1.229000,            0.152000,
       657801.700000,      4989517.000000,            0.988000,            0.784000,            0.880000,            1.248000,            0.186000,
       657552.300000,      4989949.000000,            0.950000,            0.789000,            0.866000,            1.225000,            0.154000,
       634781.100000,      4985816.000000,            0.407000,            0.463000,            0.434000,            0.616000,            0.019000,
       635212.200000,      4986065.000000,            0.574000,            0.509000,            0.540000,            0.020000,            0.767000,
       634781.000000,      4986314.000000,            0.603000,            0.521000,            0.561000,            0.031000,            0.796000,
       637361.100000,      4992107.000000,            0.466000,            0.551000,            0.507000,            0.084000,            0.717000,
       637610.500000,      4991676.000000,            0.436000,            0.430000,            0.433000,            0.016000,            0.612000,
       637859.700000,      4992107.000000,            0.406000,            0.524000,            0.461000,            0.106000,            0.654000,
       638358.200000,      4992107.000000,            0.510000,            0.425000,            0.466000,            0.659000,            0.082000,
       638109.100000,      4991676.000000,            0.473000,            0.503000,            0.488000,            0.044000,            0.690000,
       638607.600000,      4991676.000000,            0.605000,            0.495000,            0.547000,            0.052000,            0.780000,
       638856.700000,      4992107.000000,            0.564000,            0.479000,            0.520000,            0.735000,            0.085000,
       633487.400000,      4975112.000000,            0.490000,            0.527000,            0.508000,            0.720000,            0.002000,
       633487.400000,      4975610.000000,            0.497000,            0.442000,            0.468000,            0.017000,            0.665000,
       633056.200000,      4975362.000000,            0.434000,            0.713000,            0.556000,            0.817000,            0.171000,
       650323.000000,      4992107.000000,            0.574000,            0.677000,            0.623000,            0.102000,            0.881000,
