E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       632624.900000,      4992539.000000,            0.018000,            0.028000,            0.023000,            0.008000,            0.033000,
       632624.900000,      4992041.000000,            0.021000,            0.023000,            0.022000,            0.002000,            0.031000,
       632953.500000,      4992215.000000,            0.027000,            0.027000,            0.027000,            0.001000,            0.038000,
       633123.400000,      4941256.000000,            0.020000,            0.019000,            0.019000,            0.027000,            0.002000,
       632952.100000,      4941581.000000,            0.017000,            0.021000,            0.019000,            0.004000,            0.027000,
       632624.900000,      4941256.000000,            0.026000,            0.020000,            0.023000,            0.032000,            0.006000,
       706906.700000,      4941754.000000,            0.017000,            0.013000,            0.015000,            0.003000,            0.021000,
       706578.100000,      4941580.000000,            0.018000,            0.014000,            0.016000,            0.002000,            0.023000,
       706906.700000,      4941256.000000,            0.017000,            0.017000,            0.017000,            0.001000,            0.024000,
       633487.400000,      4970631.000000,            0.041000,            0.036000,            0.038000,            0.054000,            0.005000,
       633487.400000,      4971129.000000,            0.045000,            0.050000,            0.047000,            0.067000,            0.002000,
       633056.200000,      4970880.000000,            0.030000,            0.041000,            0.035000,            0.010000,            0.050000,
       632624.900000,      4990548.000000,            0.023000,            0.021000,            0.022000,            0.031000,            0.002000,
       633071.000000,      4990807.000000,            0.038000,            0.033000,            0.035000,            0.002000,            0.050000,
       632624.900000,      4991045.000000,            0.024000,            0.022000,            0.023000,            0.033000,            0.003000,
       636075.100000,      4969635.000000,            0.050000,            0.053000,            0.051000,            0.073000,            0.000000,
       636075.100000,      4970132.000000,            0.043000,            0.054000,            0.048000,            0.069000,            0.005000,
       635643.800000,      4969884.000000,            0.057000,            0.046000,            0.051000,            0.073000,            0.010000,
       633505.000000,      4990053.000000,            0.029000,            0.044000,            0.036000,            0.012000,            0.051000,
       633954.400000,      4990293.000000,            0.039000,            0.031000,            0.035000,            0.004000,            0.050000,
       633524.500000,      4990561.000000,            0.038000,            0.035000,            0.037000,            0.052000,            0.004000,
       661041.600000,      4991676.000000,            0.046000,            0.084000,            0.062000,            0.093000,            0.024000,
       660792.300000,      4992107.000000,            0.035000,            0.066000,            0.048000,            0.024000,            0.070000,
       660543.100000,      4991676.000000,            0.036000,            0.080000,            0.054000,            0.034000,            0.081000,
       634868.600000,      4992108.000000,            0.037000,            0.039000,            0.038000,            0.054000,            0.000000,
       634368.900000,      4992108.000000,            0.031000,            0.031000,            0.031000,            0.001000,            0.044000,
       634614.500000,      4991680.000000,            0.031000,            0.039000,            0.035000,            0.008000,            0.049000,
       633056.200000,      4971876.000000,            0.036000,            0.034000,            0.035000,            0.049000,            0.003000,
       633056.200000,      4972374.000000,            0.034000,            0.046000,            0.040000,            0.057000,            0.007000,
       632624.900000,      4972125.000000,            0.025000,            0.024000,            0.025000,            0.035000,            0.001000,
       632624.900000,      4987062.000000,            0.027000,            0.023000,            0.025000,            0.035000,            0.003000,
       633056.200000,      4987311.000000,            0.036000,            0.030000,            0.033000,            0.003000,            0.047000,
       632624.900000,      4987560.000000,            0.028000,            0.029000,            0.029000,            0.040000,            0.000000,
       636364.100000,      4992107.000000,            0.032000,            0.037000,            0.035000,            0.005000,            0.049000,
       635865.500000,      4992107.000000,            0.029000,            0.036000,            0.032000,            0.046000,            0.003000,
       636114.900000,      4991676.000000,            0.029000,            0.031000,            0.030000,            0.003000,            0.043000,
       657303.200000,      4989517.000000,            0.080000,            0.097000,            0.088000,            0.125000,            0.008000,
       657801.700000,      4989517.000000,            0.054000,            0.086000,            0.068000,            0.100000,            0.020000,
       657552.300000,      4989949.000000,            0.058000,            0.099000,            0.076000,            0.112000,            0.026000,
       634781.100000,      4985816.000000,            0.039000,            0.045000,            0.042000,            0.059000,            0.002000,
       635212.200000,      4986065.000000,            0.037000,            0.045000,            0.040000,            0.007000,            0.057000,
       634781.000000,      4986314.000000,            0.039000,            0.042000,            0.041000,            0.004000,            0.057000,
       637361.100000,      4992107.000000,            0.046000,            0.048000,            0.047000,            0.066000,            0.001000,
       637610.500000,      4991676.000000,            0.034000,            0.041000,            0.037000,            0.053000,            0.004000,
       637859.700000,      4992107.000000,            0.043000,            0.041000,            0.042000,            0.000000,            0.059000,
       638358.200000,      4992107.000000,            0.053000,            0.041000,            0.047000,            0.006000,            0.067000,
       638109.100000,      4991676.000000,            0.033000,            0.042000,            0.037000,            0.008000,            0.053000,
       638607.600000,      4991676.000000,            0.046000,            0.039000,            0.042000,            0.004000,            0.060000,
       638856.700000,      4992107.000000,            0.049000,            0.040000,            0.044000,            0.063000,            0.008000,
