E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.872000,            1.183000,            1.016000,
       632624.900000,      4992041.000000,            0.701000,            0.751000,            0.726000,
       632953.500000,      4992215.000000,            1.032000,            0.756000,            0.883000,
       633123.400000,      4941256.000000,            0.810000,            0.742000,            0.775000,
       632952.100000,      4941581.000000,            0.788000,            0.911000,            0.847000,
       632624.900000,      4941256.000000,            1.006000,            0.836000,            0.917000,
       706906.700000,      4941754.000000,            0.640000,            0.561000,            0.599000,
       706578.100000,      4941580.000000,            0.756000,            0.646000,            0.699000,
       706906.700000,      4941256.000000,            0.713000,            0.509000,            0.603000,
       633487.400000,      4970631.000000,            1.204000,            0.943000,            1.065000,
       633487.400000,      4971129.000000,            1.068000,            1.493000,            1.263000,
       633056.200000,      4970880.000000,            0.988000,            1.040000,            1.014000,
       632624.900000,      4990548.000000,            0.987000,            0.730000,            0.849000,
       633071.000000,      4990807.000000,            0.719000,            0.810000,            0.763000,
       632624.900000,      4991045.000000,            0.771000,            1.041000,            0.896000,
       636075.100000,      4969635.000000,            1.158000,            1.115000,            1.136000,
       636075.100000,      4970132.000000,            1.053000,            0.936000,            0.993000,
       635643.800000,      4969884.000000,            1.062000,            1.212000,            1.134000,
       633505.000000,      4990053.000000,            0.773000,            1.173000,            0.952000,
       633954.400000,      4990293.000000,            0.903000,            0.845000,            0.874000,
       633524.500000,      4990561.000000,            0.745000,            0.934000,            0.834000,
       661041.600000,      4991676.000000,            1.473000,            1.623000,            1.546000,
       660792.300000,      4992107.000000,            1.481000,            1.224000,            1.347000,
       660543.100000,      4991676.000000,            1.467000,            1.753000,            1.604000,
       634868.600000,      4992108.000000,            1.103000,            0.900000,            0.997000,
       634368.900000,      4992108.000000,            0.994000,            0.769000,            0.874000,
       634614.500000,      4991680.000000,            0.989000,            1.056000,            1.022000,
       633056.200000,      4971876.000000,            1.082000,            0.876000,            0.973000,
       633056.200000,      4972374.000000,            0.956000,            1.232000,            1.085000,
       632624.900000,      4972125.000000,            1.231000,            0.954000,            1.084000,
       632624.900000,      4987062.000000,            0.880000,            0.854000,            0.867000,
       633056.200000,      4987311.000000,            1.040000,            1.130000,            1.084000,
       632624.900000,      4987560.000000,            1.302000,            1.054000,            1.172000,
       636364.100000,      4992107.000000,            1.134000,            1.216000,            1.174000,
       635865.500000,      4992107.000000,            0.820000,            1.056000,            0.931000,
       636114.900000,      4991676.000000,            0.965000,            0.846000,            0.903000,
       657303.200000,      4989517.000000,            1.758000,            1.412000,            1.576000,
       657801.700000,      4989517.000000,            1.458000,            1.922000,            1.674000,
       657552.300000,      4989949.000000,            1.971000,            1.309000,            1.606000,
       634781.100000,      4985816.000000,            0.990000,            1.119000,            1.053000,
       635212.200000,      4986065.000000,            0.959000,            1.016000,            0.987000,
       634781.000000,      4986314.000000,            1.242000,            1.031000,            1.132000,
       637361.100000,      4992107.000000,            0.901000,            0.994000,            0.947000,
       637610.500000,      4991676.000000,            0.749000,            0.859000,            0.802000,
       637859.700000,      4992107.000000,            0.990000,            0.975000,            0.983000,
       638358.200000,      4992107.000000,            1.064000,            1.130000,            1.096000,
       638109.100000,      4991676.000000,            0.765000,            0.803000,            0.784000,
       638607.600000,      4991676.000000,            0.850000,            0.831000,            0.840000,
