E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.142000,            0.132000,            0.137000,
       632624.900000,      4992041.000000,            0.395000,            0.143000,            0.238000,
       632953.500000,      4992215.000000,            1.179000,            1.526000,            1.341000,
       633123.400000,      4941256.000000,            0.032000,            0.214000,            0.082000,
       632952.100000,      4941581.000000,            0.407000,            0.391000,            0.399000,
       632624.900000,      4941256.000000,            0.081000,            0.333000,            0.165000,
       706906.700000,      4941754.000000,            0.171000,            0.262000,            0.212000,
       706578.100000,      4941580.000000,            0.268000,            0.144000,            0.196000,
       706906.700000,      4941256.000000,            0.047000,            0.314000,            0.121000,
       633487.400000,      4970631.000000,            0.935000,            1.319000,            1.110000,
       633487.400000,      4971129.000000,            1.066000,            1.149000,            1.106000,
       633056.200000,      4970880.000000,            0.916000,            0.891000,            0.904000,
       632624.900000,      4990548.000000,            0.250000,            0.367000,            0.303000,
       633071.000000,      4990807.000000,            1.871000,            2.373000,            2.107000,
       632624.900000,      4991045.000000,            0.432000,            0.304000,            0.362000,
       636075.100000,      4969635.000000,            0.702000,            1.393000,            0.989000,
       636075.100000,      4970132.000000,            0.782000,            1.795000,            1.185000,
       635643.800000,      4969884.000000,            0.590000,            1.315000,            0.881000,
       633505.000000,      4990053.000000,            1.479000,            1.341000,            1.408000,
       633954.400000,      4990293.000000,            3.271000,            1.783000,            2.415000,
       633524.500000,      4990561.000000,            2.773000,            3.529000,            3.128000,
       661041.600000,      4991676.000000,            1.038000,            4.750000,            2.220000,
       660792.300000,      4992107.000000,            1.184000,            6.197000,            2.708000,
       660543.100000,      4991676.000000,            1.068000,            4.316000,            2.147000,
       634868.600000,      4992108.000000,            4.053000,            1.614000,            2.558000,
       634368.900000,      4992108.000000,            3.453000,            1.725000,            2.441000,
       634614.500000,      4991680.000000,            2.237000,            1.126000,            1.587000,
       633056.200000,      4971876.000000,            1.284000,            1.010000,            1.139000,
       633056.200000,      4972374.000000,            0.837000,            1.256000,            1.025000,
       632624.900000,      4972125.000000,            0.243000,            0.193000,            0.217000,
       632624.900000,      4987062.000000,            0.449000,            0.551000,            0.497000,
       633056.200000,      4987311.000000,            1.745000,            1.295000,            1.503000,
       632624.900000,      4987560.000000,            0.300000,            0.456000,            0.370000,
       636364.100000,      4992107.000000,            4.405000,            1.496000,            2.567000,
       635865.500000,      4992107.000000,            2.809000,            1.349000,            1.947000,
       636114.900000,      4991676.000000,            1.191000,            0.752000,            0.946000,
       657303.200000,      4989517.000000,            3.112000,            2.942000,            3.026000,
       657801.700000,      4989517.000000,            2.830000,            3.003000,            2.915000,
       657552.300000,      4989949.000000,            3.067000,            3.163000,            3.115000,
       634781.100000,      4985816.000000,            1.596000,            1.985000,            1.780000,
       635212.200000,      4986065.000000,            2.112000,            4.199000,            2.978000,
       634781.000000,      4986314.000000,            1.955000,            2.982000,            2.415000,
       637361.100000,      4992107.000000,            2.232000,            1.718000,            1.958000,
       637610.500000,      4991676.000000,            2.312000,            1.178000,            1.650000,
       637859.700000,      4992107.000000,            1.713000,            1.834000,            1.773000,
       638358.200000,      4992107.000000,            1.872000,            2.702000,            2.249000,
       638109.100000,      4991676.000000,            1.768000,            1.055000,            1.365000,
       638607.600000,      4991676.000000,            2.235000,            1.547000,            1.860000,
       638856.700000,      4992107.000000,            1.409000,            4.037000,            2.385000,
       633487.400000,      4975112.000000,            1.009000,            1.956000,            1.405000,
