E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.920000,            0.881000,            0.900000,
       632624.900000,      4992041.000000,            0.980000,            1.021000,            1.000000,
       632953.500000,      4992215.000000,            0.986000,            0.935000,            0.961000,
       633123.400000,      4941256.000000,            1.219000,            1.100000,            1.158000,
       632952.100000,      4941581.000000,            0.861000,            0.975000,            0.916000,
       632624.900000,      4941256.000000,            1.109000,            0.881000,            0.989000,
       706906.700000,      4941754.000000,            0.745000,            0.708000,            0.726000,
       706578.100000,      4941580.000000,            0.729000,            0.776000,            0.752000,
       706906.700000,      4941256.000000,            0.753000,            1.007000,            0.871000,
       633487.400000,      4970631.000000,            1.344000,            1.288000,            1.316000,
       633487.400000,      4971129.000000,            2.200000,            1.073000,            1.536000,
       633056.200000,      4970880.000000,            1.038000,            1.047000,            1.043000,
       632624.900000,      4990548.000000,            1.050000,            0.918000,            0.982000,
       633071.000000,      4990807.000000,            1.257000,            1.153000,            1.204000,
       632624.900000,      4991045.000000,            0.937000,            1.150000,            1.038000,
       636075.100000,      4969635.000000,            1.370000,            1.260000,            1.314000,
       636075.100000,      4970132.000000,            1.326000,            1.216000,            1.270000,
       635643.800000,      4969884.000000,            1.162000,            1.655000,            1.387000,
       633505.000000,      4990053.000000,            1.058000,            1.139000,            1.098000,
       633954.400000,      4990293.000000,            1.161000,            1.718000,            1.412000,
       633524.500000,      4990561.000000,            1.302000,            1.199000,            1.249000,
       661041.600000,      4991676.000000,            1.838000,            1.616000,            1.724000,
       660792.300000,      4992107.000000,            2.471000,            1.820000,            2.121000,
       660543.100000,      4991676.000000,            2.057000,            2.165000,            2.110000,
       634868.600000,      4992108.000000,            1.222000,            1.097000,            1.158000,
       634368.900000,      4992108.000000,            1.298000,            1.327000,            1.313000,
       634614.500000,      4991680.000000,            0.860000,            1.407000,            1.100000,
       633056.200000,      4971876.000000,            1.275000,            1.370000,            1.322000,
       633056.200000,      4972374.000000,            1.468000,            1.422000,            1.445000,
       632624.900000,      4972125.000000,            1.280000,            1.192000,            1.235000,
       632624.900000,      4987062.000000,            1.217000,            0.993000,            1.099000,
       633056.200000,      4987311.000000,            1.425000,            1.008000,            1.199000,
       632624.900000,      4987560.000000,            1.200000,            0.988000,            1.089000,
       636364.100000,      4992107.000000,            1.361000,            1.045000,            1.193000,
       635865.500000,      4992107.000000,            1.006000,            1.095000,            1.050000,
       636114.900000,      4991676.000000,            1.260000,            1.001000,            1.123000,
       657303.200000,      4989517.000000,            1.946000,            1.837000,            1.891000,
       657801.700000,      4989517.000000,            1.799000,            1.994000,            1.894000,
       657552.300000,      4989949.000000,            1.767000,            2.296000,            2.014000,
       634781.100000,      4985816.000000,            1.454000,            1.241000,            1.343000,
       635212.200000,      4986065.000000,            1.163000,            1.483000,            1.313000,
       634781.000000,      4986314.000000,            1.164000,            1.218000,            1.191000,
       637361.100000,      4992107.000000,            1.062000,            1.128000,            1.095000,
       637610.500000,      4991676.000000,            1.376000,            1.251000,            1.312000,
       637859.700000,      4992107.000000,            1.347000,            1.190000,            1.266000,
       638358.200000,      4992107.000000,            1.117000,            1.462000,            1.278000,
       638109.100000,      4991676.000000,            1.081000,            1.340000,            1.204000,
       638607.600000,      4991676.000000,            1.694000,            1.071000,            1.347000,
