E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.007000,            0.010000,            0.008000,
       632624.900000,      4992041.000000,            0.019000,            0.016000,            0.017000,
       632953.500000,      4992215.000000,            0.084000,            0.150000,            0.112000,
       633123.400000,      4941256.000000,            0.003000,            0.005000,            0.004000,
       632952.100000,      4941581.000000,            0.018000,            0.025000,            0.021000,
       632624.900000,      4941256.000000,            0.005000,            0.004000,            0.005000,
       706906.700000,      4941754.000000,            0.002000,            0.001000,            0.002000,
       706578.100000,      4941580.000000,            0.006000,            0.008000,            0.007000,
       706906.700000,      4941256.000000,            0.001000,            0.001000,            0.001000,
       633487.400000,      4970631.000000,            0.233000,            0.180000,            0.205000,
       633487.400000,      4971129.000000,            0.255000,            0.191000,            0.221000,
       633056.200000,      4970880.000000,            0.158000,            0.202000,            0.179000,
       632624.900000,      4990548.000000,            0.025000,            0.018000,            0.022000,
       633071.000000,      4990807.000000,            0.146000,            0.149000,            0.148000,
       632624.900000,      4991045.000000,            0.026000,            0.016000,            0.020000,
       636075.100000,      4969635.000000,            0.192000,            0.195000,            0.193000,
       636075.100000,      4970132.000000,            0.206000,            0.217000,            0.211000,
       635643.800000,      4969884.000000,            0.206000,            0.195000,            0.200000,
       633505.000000,      4990053.000000,            0.143000,            0.168000,            0.155000,
       633954.400000,      4990293.000000,            0.204000,            0.189000,            0.197000,
       633524.500000,      4990561.000000,            0.143000,            0.164000,            0.153000,
       661041.600000,      4991676.000000,            0.107000,            0.627000,            0.259000,
       660792.300000,      4992107.000000,            0.130000,            0.340000,            0.210000,
       660543.100000,      4991676.000000,            0.085000,            0.625000,            0.231000,
       634868.600000,      4992108.000000,            0.127000,            0.284000,            0.190000,
       634368.900000,      4992108.000000,            0.135000,            0.254000,            0.185000,
       634614.500000,      4991680.000000,            0.137000,            0.254000,            0.186000,
       633056.200000,      4971876.000000,            0.173000,            0.225000,            0.197000,
       633056.200000,      4972374.000000,            0.183000,            0.222000,            0.202000,
       632624.900000,      4972125.000000,            0.023000,            0.012000,            0.017000,
       632624.900000,      4987062.000000,            0.039000,            0.043000,            0.041000,
       633056.200000,      4987311.000000,            0.104000,            0.200000,            0.144000,
       632624.900000,      4987560.000000,            0.036000,            0.042000,            0.039000,
       636364.100000,      4992107.000000,            0.195000,            0.240000,            0.216000,
       635865.500000,      4992107.000000,            0.181000,            0.235000,            0.206000,
       636114.900000,      4991676.000000,            0.189000,            0.299000,            0.238000,
       657303.200000,      4989517.000000,            0.321000,            0.474000,            0.390000,
       657801.700000,      4989517.000000,            0.292000,            0.476000,            0.373000,
       657552.300000,      4989949.000000,            0.310000,            0.506000,            0.397000,
       634781.100000,      4985816.000000,            0.231000,            0.288000,            0.258000,
       635212.200000,      4986065.000000,            0.210000,            0.219000,            0.215000,
       634781.000000,      4986314.000000,            0.188000,            0.210000,            0.199000,
       637361.100000,      4992107.000000,            0.129000,            0.237000,            0.175000,
       637610.500000,      4991676.000000,            0.172000,            0.340000,            0.242000,
       637859.700000,      4992107.000000,            0.173000,            0.250000,            0.208000,
       638358.200000,      4992107.000000,            0.212000,            0.243000,            0.227000,
       638109.100000,      4991676.000000,            0.168000,            0.351000,            0.243000,
       638607.600000,      4991676.000000,            0.204000,            0.332000,            0.260000,
       638856.700000,      4992107.000000,            0.230000,            0.228000,            0.229000,
       633487.400000,      4975112.000000,            0.207000,            0.235000,            0.221000,
       633487.400000,      4975610.000000,            0.261000,            0.290000,            0.275000,
       633056.200000,      4975362.000000,            0.174000,            0.262000,            0.214000,
       650323.000000,      4992107.000000,            0.558000,            0.291000,            0.403000,
       649824.500000,      4992107.000000,            0.552000,            0.294000,            0.403000,
       650073.900000,      4991676.000000,            0.546000,            0.376000,            0.453000,
       643343.800000,      4991244.000000,            0.266000,            0.241000,            0.253000,
       643094.400000,      4991676.000000,            0.300000,            0.253000,            0.276000,
       642845.200000,      4991244.000000,            0.273000,            0.244000,            0.258000,
       640103.500000,      4990812.000000,            0.174000,            0.278000,            0.220000,
       640352.900000,      4990381.000000,            0.179000,            0.330000,            0.243000,
       640602.000000,      4990812.000000,            0.217000,            0.266000,            0.240000,
       641349.400000,      4992107.000000,            0.248000,            0.157000,            0.197000,
       641598.800000,      4991676.000000,            0.292000,            0.248000,            0.269000,
       641847.900000,      4992107.000000,            0.239000,            0.139000,            0.182000,
       632624.900000,      4974117.000000,            0.020000,            0.011000,            0.015000,
       633056.200000,      4974366.000000,            0.151000,            0.188000,            0.168000,
       632624.900000,      4974615.000000,            0.021000,            0.012000,            0.016000,
       633487.400000,      4983079.000000,            0.258000,            0.364000,            0.307000,
       633056.200000,      4982830.000000,            0.132000,            0.298000,            0.199000,
       633487.400000,      4982581.000000,            0.129000,            0.348000,            0.212000,
       643842.100000,      4992107.000000,            0.288000,            0.159000,            0.214000,
       643343.500000,      4992107.000000,            0.278000,            0.147000,            0.202000,
       643592.900000,      4991676.000000,            0.313000,            0.254000,            0.282000,
       644590.200000,      4990812.000000,            0.294000,            0.239000,            0.265000,
       644091.700000,      4990812.000000,            0.296000,            0.256000,            0.275000,
       644341.100000,      4990381.000000,            0.289000,            0.352000,            0.319000,
       645337.700000,      4992107.000000,            0.329000,            0.175000,            0.240000,
       644839.100000,      4992107.000000,            0.309000,            0.163000,            0.224000,
       645088.500000,      4991676.000000,            0.346000,            0.257000,            0.298000,
       633056.200000,      4980838.000000,            0.157000,            0.219000,            0.186000,
       632624.900000,      4980590.000000,            0.030000,            0.034000,            0.032000,
       633056.200000,      4980340.000000,            0.186000,            0.281000,            0.228000,
       632624.900000,      4975611.000000,            0.028000,            0.018000,            0.022000,
       632624.900000,      4975113.000000,            0.025000,            0.014000,            0.019000,
       650821.800000,      4991244.000000,            0.388000,            0.251000,            0.312000,
       651320.300000,      4991244.000000,            0.390000,            0.252000,            0.313000,
       651070.900000,      4991676.000000,            0.557000,            0.384000,            0.462000,
       648329.300000,      4990381.000000,            0.380000,            0.322000,            0.350000,
       647830.800000,      4990381.000000,            0.355000,            0.317000,            0.336000,
       648080.200000,      4989949.000000,            0.433000,            0.370000,            0.400000,
       633056.200000,      4973370.000000,            0.178000,            0.196000,            0.187000,
       633056.200000,      4972872.000000,            0.183000,            0.210000,            0.196000,
       633487.400000,      4973121.000000,            0.263000,            0.197000,            0.228000,
       633487.400000,      4976108.000000,            0.280000,            0.323000,            0.301000,
       633487.400000,      4976606.000000,            0.243000,            0.323000,            0.280000,
       633056.200000,      4976357.000000,            0.265000,            0.357000,            0.307000,
       634349.900000,      4975112.000000,            0.194000,            0.258000,            0.224000,
       634349.900000,      4975610.000000,            0.236000,            0.288000,            0.261000,
       633918.700000,      4975361.000000,            0.206000,            0.224000,            0.215000,
       635212.500000,      4973120.000000,            0.210000,            0.209000,            0.210000,
       635212.500000,      4973618.000000,            0.178000,            0.209000,            0.193000,
       634781.200000,      4973369.000000,            0.190000,            0.192000,            0.191000,
       654809.800000,      4992107.000000,            0.410000,            0.231000,            0.308000,
       655059.200000,      4991676.000000,            0.443000,            0.369000,            0.404000,
       655308.400000,      4992107.000000,            0.378000,            0.227000,            0.293000,
       662288.100000,      4991244.000000,            0.123000,            0.563000,            0.263000,
       662786.600000,      4991244.000000,            0.128000,            0.555000,            0.266000,
       662537.200000,      4991676.000000,            0.148000,            0.591000,            0.295000,
       633918.700000,      4970382.000000,            0.167000,            0.192000,            0.179000,
       633918.700000,      4970880.000000,            0.184000,            0.203000,            0.193000,
       655557.700000,      4991676.000000,            0.413000,            0.369000,            0.391000,
       655806.900000,      4992107.000000,            0.347000,            0.247000,            0.293000,
       655558.200000,      4989949.000000,            0.446000,            0.474000,            0.460000,
       655807.600000,      4989517.000000,            0.404000,            0.450000,            0.426000,
       656056.700000,      4989949.000000,            0.415000,            0.487000,            0.450000,
       663783.500000,      4992107.000000,            0.176000,            0.295000,            0.228000,
       663534.100000,      4992539.000000,            0.011000,            0.071000,            0.028000,
       663284.900000,      4992107.000000,            0.174000,            0.301000,            0.229000,
       662537.000000,      4941256.000000,            0.008000,            0.020000,            0.012000,
       663035.600000,      4941256.000000,            0.008000,            0.018000,            0.012000,
       662786.200000,      4941687.000000,            0.108000,            0.058000,            0.079000,
       665279.100000,      4992107.000000,            0.190000,            0.260000,            0.222000,
       665029.700000,      4992539.000000,            0.012000,            0.066000,            0.028000,
       664780.600000,      4992107.000000,            0.181000,            0.275000,            0.223000,
       663034.200000,      4946436.000000,            0.051000,            0.247000,            0.112000,
