E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       632624.900000,      4992539.000000,            0.053000,            0.061000,            0.057000,
       632624.900000,      4992041.000000,            0.100000,            0.054000,            0.073000,
       632953.500000,      4992215.000000,            0.452000,            0.458000,            0.455000,
       633123.400000,      4941256.000000,            0.008000,            0.034000,            0.017000,
       632952.100000,      4941581.000000,            0.176000,            0.108000,            0.138000,
       632624.900000,      4941256.000000,            0.012000,            0.015000,            0.014000,
       706906.700000,      4941754.000000,            0.022000,            0.012000,            0.016000,
       706578.100000,      4941580.000000,            0.157000,            0.065000,            0.101000,
       706906.700000,      4941256.000000,            0.009000,            0.009000,            0.009000,
       633487.400000,      4970631.000000,            0.343000,            0.459000,            0.397000,
       633487.400000,      4971129.000000,            0.370000,            0.380000,            0.375000,
       633056.200000,      4970880.000000,            0.272000,            0.361000,            0.314000,
       632624.900000,      4990548.000000,            0.065000,            0.102000,            0.082000,
       633071.000000,      4990807.000000,            1.247000,            0.974000,            1.102000,
       632624.900000,      4991045.000000,            0.069000,            0.092000,            0.080000,
       636075.100000,      4969635.000000,            0.319000,            0.567000,            0.425000,
       636075.100000,      4970132.000000,            0.373000,            0.703000,            0.512000,
       635643.800000,      4969884.000000,            0.291000,            0.467000,            0.369000,
       633505.000000,      4990053.000000,            0.610000,            0.569000,            0.589000,
       633954.400000,      4990293.000000,            1.061000,            0.796000,            0.919000,
       633524.500000,      4990561.000000,            1.195000,            1.276000,            1.235000,
       661041.600000,      4991676.000000,            0.548000,            2.507000,            1.172000,
       660792.300000,      4992107.000000,            0.485000,            3.114000,            1.229000,
       660543.100000,      4991676.000000,            0.556000,            2.338000,            1.140000,
       634868.600000,      4992108.000000,            1.211000,            0.502000,            0.779000,
       634368.900000,      4992108.000000,            1.222000,            0.349000,            0.653000,
       634614.500000,      4991680.000000,            1.016000,            0.481000,            0.699000,
       633056.200000,      4971876.000000,            0.417000,            0.399000,            0.408000,
       633056.200000,      4972374.000000,            0.332000,            0.420000,            0.373000,
       632624.900000,      4972125.000000,            0.099000,            0.025000,            0.050000,
