LON [dd], LAT [dd], Rgh [m/s2]
       10.6848867020,       45.0681174904,        0.2226279294,
       10.6847550131,       45.0640227877,        0.2252786724,
       10.6889735780,       45.0653988021,        0.2265368608,
       10.6777660623,       44.5675404658,        0.1912958337,
       10.6756921949,       44.5712192880,        0.1917662263,
       10.6714860918,       44.5676551621,        0.1890601931,
       11.6070757211,       44.5513550449,        0.1569675257,
       11.6028696321,       44.5495121027,        0.1579056872,
       11.6068753367,       44.5457378867,        0.1557481812,
       10.6900376145,       44.8733963969,        0.3350995904,
       10.6901688315,       44.8781489071,        0.3341581337,
       10.6846460968,       44.8758600895,        0.3279483499,
       10.6843603956,       45.0516569993,        0.2333214308,
       10.6900921489,       45.0537345440,        0.2351227338,
       10.6844917278,       45.0557884089,        0.2306295919,
       10.7225175020,       44.8633225699,        0.3822265521,
       10.7226509275,       44.8680974887,        0.3813123789,
       10.7171269426,       44.8658044975,        0.3735705854,
       10.6954012999,       45.0473737030,        0.2426495036,
       10.7011698228,       45.0492994064,        0.2446875282,
       10.6957839418,       45.0516088038,        0.2398551296,
       11.0454095514,       45.0555896492,        0.4505504064,
       11.0423832775,       45.0592122772,        0.4393582061,
       11.0390820633,       45.0556940474,        0.4491260666,
       10.7132624426,       45.0641865624,        0.2404264411,
       10.7069174823,       45.0642735471,        0.2368732867,
       10.7099211497,       45.0607004246,        0.2412291200,
       10.6849077456,       44.8853340966,        0.3259146818,
       10.6850386159,       44.8900482020,        0.3247261803,
       10.6795137075,       44.8877776797,        0.3189553010,
       10.6834400831,       45.0222555996,        0.2524449904,
       10.6889782008,       45.0243037930,        0.2547812595,
       10.6835714640,       45.0265013419,        0.2497011965,
       10.7322511511,       45.0639160295,        0.2514096271,
       10.7259202539,       45.0640038072,        0.2476929754,
       10.7289700322,       45.0604039243,        0.2524604963,
       10.9972805346,       45.0383205002,        0.4882968650,
       11.0036061249,       45.0382167130,        0.4920146113,
       11.0005769310,       45.0419020188,        0.4785389035,
       10.7104632194,       45.0111765514,        0.2800642324,
       10.7159986438,       45.0132425964,        0.2827926479,
       10.7105953860,       45.0154618016,        0.2768179123,
       10.7449103107,       45.0637395255,        0.2590106310,
       10.7479587585,       45.0601383487,        0.2641722119,
       10.7512411123,       45.0636507636,        0.2628954843,
       10.7575706120,       45.0635616913,        0.2668343468,
       10.7542891163,       45.0600491534,        0.2681949202,
       10.7606181724,       45.0599596469,        0.2722748487,
       10.7639000794,       45.0634722909,        0.2708270946,
       10.6912194090,       44.9156095127,        0.3224700781,
       10.6913509024,       44.9202242844,        0.3205411380,
       10.6858244808,       44.9180112565,        0.3153856703,
       10.9094788212,       45.0613251722,        0.3719991608,
       10.9031501274,       45.0614221423,        0.3675805707,
       10.9061874693,       45.0578098259,        0.3769001173,
       10.8206248865,       45.0555133005,        0.3184874953,
       10.8175820182,       45.0591392085,        0.3113885817,
       10.8142953008,       45.0556062370,        0.3137743824,
       10.7793690099,       45.0525223341,        0.2926468786,
       10.7824144475,       45.0488845044,        0.2989534649,
       10.7856970793,       45.0524309593,        0.2972188268,
       10.7955494683,       45.0630203266,        0.2915564127,
       10.7985943655,       45.0594156546,        0.2979095043,
       10.8018787398,       45.0629289553,        0.2958429175,
       10.6800357387,       44.9065106438,        0.3135779386,
       10.6855624033,       44.9087515831,        0.3188971666,
       10.6801663228,       44.9111555699,        0.3119874266,
       10.6933267345,       44.9875904874,        0.2832275711,
       10.6877934470,       44.9854796130,        0.2799656384,
       10.6931947788,       44.9832065037,        0.2860503405,
       10.8271980335,       45.0625601450,        0.3133822634,
       10.8208676253,       45.0626528503,        0.3089441511,
       10.8239107461,       45.0590464063,        0.3159628146,
       10.8363229848,       45.0516879833,        0.3357613851,
       10.8299951806,       45.0517820122,        0.3307792064,
       10.8330370678,       45.0481406207,        0.3385772794,
       10.8461865174,       45.0622800917,        0.3268562914,
       10.8398562101,       45.0623737845,        0.3223414769,
       10.8428979980,       45.0587660007,        0.3298826910,
       10.6872675729,       44.9678217427,        0.2905828080,
       10.6817354539,       44.9656862865,        0.2868470929,
       10.6871361812,       44.9633688107,        0.2931387287,
       10.6804275826,       44.9203993586,        0.3085348942,
       10.6802969374,       44.9157851449,        0.3103052028,
       10.9155519046,       45.0540796815,        0.3913719753,
       10.9218796727,       45.0539814595,        0.3960831344,
       10.9188439321,       45.0576146370,        0.3860248537,
       10.8836575374,       45.0473754206,        0.3808045180,
       10.8773304156,       45.0474722328,        0.3754744726,
       10.8803684885,       45.0438076057,        0.3850955745,
       10.6853004484,       44.8994305307,        0.3220201810,
       10.6851695169,       44.8947470187,        0.3234269816,
       10.6906940066,       44.8970063332,        0.3291935947,
       10.6914824266,       44.9248236860,        0.3185215706,
       10.6916139815,       44.9294077098,        0.3164157229,
       10.6860864176,       44.9272002634,        0.3115206298,
       10.7021420507,       44.9154420643,        0.3353633470,
       10.7022743924,       44.9200573665,        0.3332578085,
       10.6967473296,       44.9178353549,        0.3278271629,
       10.7125334174,       44.8966566676,        0.3570997892,
       10.7126664829,       44.9013338749,        0.3552701667,
       10.7071395340,       44.8990825397,        0.3489381542,
       10.9664392840,       45.0604375212,        0.4085123326,
       10.9694721749,       45.0568205699,        0.4192865788,
       10.9727688918,       45.0603372271,        0.4120356251,
       11.0610916036,       45.0517362302,        0.4641232180,
       11.0674185319,       45.0516303477,        0.4647030065,
       11.0643930595,       45.0552744367,        0.4533363420,
       10.6954299592,       44.8709283358,        0.3424751665,
       10.6955615841,       44.8756887214,        0.3415546549,
       10.9758000679,       45.0567198268,        0.4229120680,
       10.9790971939,       45.0602366222,        0.4154155700,
       10.9752712976,       45.0423132561,        0.4627302418,
       10.9783022757,       45.0386298603,        0.4757844495,
       10.9815974433,       45.0422109559,        0.4669834763,
       11.0803526293,       45.0585817586,        0.4431869886,
       11.0773276801,       45.0622039105,        0.4328350384,
