E-UTM - m,N-UTM - m,PGV-EW - m/s2,PGV-NS - m/s2,PGV-GH - m/s2,PGV-FP - m/s2,PGV-FO - m/s2
          663690.000,         4967900.000,               0.314,               0.525,               0.406,               0.598,               0.130
          662793.600,         4971388.000,               0.285,               0.570,               0.403,               0.611,               0.181
          663690.000,         4972400.000,               0.363,               0.529,               0.438,               0.634,               0.097
          669354.900,         4967100.000,               0.196,               0.353,               0.263,               0.123,               0.384
          664786.000,         4975704.000,               0.191,               0.330,               0.251,               0.371,               0.086
          672266.400,         4971388.000,               0.170,               0.245,               0.204,               0.062,               0.291
          673512.700,         4971819.000,               0.209,               0.249,               0.228,               0.324,               0.017
          666280.700,         4978294.000,               0.146,               0.344,               0.224,               0.151,               0.342
          660049.100,         4977863.000,               0.188,               0.393,               0.271,               0.158,               0.405
          672014.500,         4976999.000,               0.354,               0.261,               0.304,               0.051,               0.437
          655553.800,         4961972.000,               0.237,               0.210,               0.223,               0.008,               0.317
          677754.500,         4968798.000,               0.280,               0.192,               0.232,               0.051,               0.336
          676239.800,         4961544.000,               0.165,               0.239,               0.199,               0.287,               0.042
          672013.100,         4980452.000,               0.117,               0.173,               0.142,               0.046,               0.203
          666029.600,         4983042.000,               0.148,               0.198,               0.171,               0.246,               0.028
          676501.200,         4977862.000,               0.135,               0.143,               0.139,               0.196,               0.001
          669761.800,         4953774.000,               0.061,               0.098,               0.077,               0.029,               0.112
          680787.400,         4966684.000,               0.176,               0.170,               0.173,               0.004,               0.244
          652808.500,         4958091.000,               0.136,               0.147,               0.141,               0.200,               0.001
          650826.400,         4977431.000,               0.266,               0.205,               0.234,               0.032,               0.334
          647720.700,         4960418.000,               0.092,               0.068,               0.079,               0.013,               0.113
          683232.800,         4976567.000,               0.133,               0.082,               0.104,               0.150,               0.041
          664282.700,         4989517.000,               0.062,               0.178,               0.105,               0.172,               0.076
          681227.900,         4954637.000,               0.169,               0.138,               0.153,               0.015,               0.218
          686211.300,         4959816.000,               0.085,               0.076,               0.081,               0.114,               0.010
          680984.700,         4986496.000,               0.010,               0.018,               0.014,               0.006,               0.020
          689220.800,         4962422.000,               0.077,               0.061,               0.069,               0.008,               0.098
          690517.100,         4963670.000,               0.068,               0.042,               0.054,               0.077,               0.021
          681981.200,         4988222.000,               0.075,               0.069,               0.072,               0.001,               0.101
          690948.300,         4973378.000,               0.022,               0.029,               0.025,               0.036,               0.003
          654559.800,         4943846.000,               0.040,               0.032,               0.036,               0.051,               0.008
          650072.300,         4945572.000,               0.028,               0.035,               0.032,               0.006,               0.045
          636937.700,         4966647.000,               0.026,               0.029,               0.028,               0.004,               0.039
