Station Code,Monitor ID,Repi [km],E_UTM [m],N_UTM [m],LON [dd],LAT [dd],
MON1, 1, 27, 6.667008e+05, 4.497518e+06, 2.297100e+01, 4.061200e+01,
MON2, 2, 28, 6.649107e+05, 4.499507e+06, 2.295000e+01, 4.063000e+01,
MON3, 3, 2.730000e+01, 6.665835e+05, 4.497260e+06, 2.296900e+01, 4.060900e+01,
MON4, 4, 2.670000e+01, 6.672382e+05, 4.497209e+06, 2.297700e+01, 4.060900e+01,
MON5, 5, 28, 6.656222e+05, 4.497568e+06, 2.295800e+01, 4.061200e+01,
MON6, 6, 2.840000e+01, 6.644622e+05, 4.499469e+06, 2.294500e+01, 4.063000e+01,
MON7, 7, 2.840000e+01, 6.661290e+05, 4.495476e+06, 2.296300e+01, 4.059300e+01,
MON8, 8, 27, 6.667489e+05, 4.497507e+06, 2.297100e+01, 4.061200e+01,
MON9, 9, 2.690000e+01, 6.671072e+05, 4.496895e+06, 2.297500e+01, 4.060600e+01,
MON10, 10, 2.720000e+01, 6.668437e+05, 4.496728e+06, 2.297200e+01, 4.060500e+01,
MON11, 11, 2.670000e+01, 6.670189e+05, 4.497674e+06, 2.297400e+01, 4.061300e+01,
MON12, 12, 2.730000e+01, 6.661127e+05, 4.498178e+06, 2.296400e+01, 4.061800e+01,
MON13, 13, 2.760000e+01, 6.657931e+05, 4.498166e+06, 2.296000e+01, 4.061800e+01,
MON14, 14, 2.750000e+01, 6.666827e+05, 4.496436e+06, 2.297000e+01, 4.060200e+01,
MON15, 15, 27, 6.668307e+05, 4.497337e+06, 2.297200e+01, 4.061000e+01,
MON16, 16, 2.790000e+01, 6.656661e+05, 4.497783e+06, 2.295800e+01, 4.061400e+01,
MON17, 17, 2.680000e+01, 6.671154e+05, 4.497136e+06, 2.297500e+01, 4.060800e+01,
MON18, 18, 2.720000e+01, 6.662313e+05, 4498358, 2.296500e+01, 4.061900e+01,
MON19, 19, 2.810000e+01, 6.647452e+05, 4.499555e+06, 2.294800e+01, 4.063000e+01,
MON20, 20, 2.840000e+01, 6.651714e+05, 4.497679e+06, 2.295300e+01, 4.061300e+01,
MON21, 21, 2.750000e+01, 6.671288e+05, 4.495597e+06, 2.297500e+01, 4.059400e+01,
MON22, 22, 2.780000e+01, 6.664814e+05, 4.496188e+06, 2.296800e+01, 4.060000e+01,
MON23, 23, 2.730000e+01, 6.663038e+05, 4.497923e+06, 2.296600e+01, 4.061500e+01,
MON24, 24, 2.690000e+01, 6.669269e+05, 4.497306e+06, 2.297300e+01, 4.061000e+01,
MON25, 25, 28, 6.656664e+05, 4497583, 2.295800e+01, 4.061200e+01,
MON26, 26, 2.840000e+01, 6.645322e+05, 4.499408e+06, 2.294500e+01, 4.062900e+01,
MON27, 27, 2.940000e+01, 6.651783e+05, 4.495317e+06, 2.295200e+01, 4.059200e+01,
MON28, 28, 2.740000e+01, 6.664644e+05, 4.497217e+06, 2.296800e+01, 4.060900e+01,
MON29, 29, 2.730000e+01, 6.660358e+05, 4.498482e+06, 2.296300e+01, 4.062000e+01,
MON30, 30, 2.760000e+01, 6.666035e+05, 4.496459e+06, 2.296900e+01, 4.060200e+01,
MON31, 31, 2.780000e+01, 6.656061e+05, 4.498290e+06, 2.295800e+01, 4.061900e+01,
MON32, 32, 2.770000e+01, 6.658425e+05, 4.497870e+06, 2.296100e+01, 4.061500e+01,
MON33, 33, 2.690000e+01, 6.667788e+05, 4.497631e+06, 2.297200e+01, 4.061300e+01,
MON34, 34, 27, 6.667178e+05, 4.497617e+06, 2.297100e+01, 4.061300e+01,
MON35, 35, 2.770000e+01, 6.663321e+05, 4.496873e+06, 2.296600e+01, 4.060600e+01,
MON36, 36, 28, 6.663706e+05, 4.496000e+06, 2.296600e+01, 4.059800e+01,
MON37, 37, 2.750000e+01, 6.665193e+05, 4.496934e+06, 2.296800e+01, 4.060600e+01,
MON38, 38, 2.760000e+01, 6.656724e+05, 4.498506e+06, 2.295900e+01, 4.062100e+01,
MON39, 39, 2.810000e+01, 6.653005e+05, 4.498038e+06, 2.295400e+01, 4.061700e+01,
MON40, 40, 2.760000e+01, 6.661894e+05, 4.497347e+06, 2.296400e+01, 4.061000e+01,
MON41, 41, 2.750000e+01, 666387, 4.497194e+06, 2.296700e+01, 4.060900e+01,
MON42, 42, 2.680000e+01, 6.663927e+05, 4.498923e+06, 2.296700e+01, 4.062400e+01,
MON43, 43, 2.640000e+01, 6.675274e+05, 4.497297e+06, 2.298000e+01, 4.061000e+01,
MON44, 44, 2.820000e+01, 6.661959e+05, 4.495845e+06, 2.296400e+01, 4.059700e+01,
MON45, 45, 2.930000e+01, 6.651246e+05, 4.495563e+06, 2.295100e+01, 4.059400e+01,
MON46, 46, 2.860000e+01, 6.661389e+05, 4.495135e+06, 2.296300e+01, 4.059000e+01,
MON47, 47, 2.670000e+01, 6.671609e+05, 4.497275e+06, 2.297600e+01, 4.060900e+01,
MON48, 48, 2.670000e+01, 6.670106e+05, 4.497654e+06, 2.297400e+01, 4.061300e+01,
MON49, 49, 2.770000e+01, 6.662843e+05, 4.496840e+06, 2.296500e+01, 4.060600e+01,
MON50, 50, 2.740000e+01, 6.667369e+05, 4.496640e+06, 2.297100e+01, 4.060400e+01,
MON51, 51, 2.720000e+01, 6.665623e+05, 4.497440e+06, 2.296900e+01, 4.061100e+01,
MON52, 52, 2.690000e+01, 6.669988e+05, 4.497253e+06, 2.297400e+01, 4.060900e+01,
MON53, 53, 28, 6.650623e+05, 4.498998e+06, 2.295200e+01, 4.062500e+01,
MON54, 54, 2.680000e+01, 6.669938e+05, 4.497549e+06, 2.297400e+01, 4.061200e+01,
MON55, 55, 2.780000e+01, 6.664563e+05, 4.496281e+06, 2.296700e+01, 4.060100e+01,
MON56, 56, 2.740000e+01, 6.666204e+05, 4.496920e+06, 2.296900e+01, 4.060600e+01,
MON57, 57, 27, 6.667732e+05, 4.497446e+06, 2.297100e+01, 4.061100e+01,
MON58, 58, 2.610000e+01, 6.676749e+05, 4.497569e+06, 2.298200e+01, 4.061200e+01,
MON59, 59, 2.770000e+01, 6.663775e+05, 4.496586e+06, 2.296600e+01, 4.060300e+01,
MON60, 60, 2.830000e+01, 6.646282e+05, 4.499411e+06, 2.294700e+01, 4.062900e+01,
MON61, 61, 27, 6.666566e+05, 4.497719e+06, 2.297000e+01, 4.061400e+01,
MON62, 62, 2.720000e+01, 6.669781e+05, 4.496645e+06, 2.297400e+01, 4.060400e+01,
MON63, 63, 2.780000e+01, 6.651272e+05, 4.499341e+06, 2.295200e+01, 4.062800e+01,
MON64, 64, 2.780000e+01, 6.650758e+05, 4.499579e+06, 2.295200e+01, 4.063100e+01,
MON65, 65, 2.760000e+01, 6.661469e+05, 4.497427e+06, 2.296400e+01, 4.061100e+01,
MON66, 66, 2.630000e+01, 6.675157e+05, 4.497504e+06, 2.298000e+01, 4.061100e+01,
MON67, 67, 28, 6.649603e+05, 4.499234e+06, 2.295000e+01, 4.062700e+01,
MON68, 68, 28, 6.650265e+05, 4.499166e+06, 2.295100e+01, 4.062700e+01,
MON69, 69, 2.820000e+01, 6.647979e+05, 4.499292e+06, 2.294900e+01, 4.062800e+01,
MON70, 70, 2.910000e+01, 6.651616e+05, 4.495950e+06, 2.295200e+01, 4.059800e+01,
MON71, 71, 27, 6.669893e+05, 4.496958e+06, 2.297400e+01, 4.060700e+01,
MON72, 72, 2.770000e+01, 6.663917e+05, 4.496712e+06, 2.296700e+01, 4.060400e+01,
MON73, 73, 27, 6.661614e+05, 4.498823e+06, 2.296500e+01, 4.062400e+01,
MON74, 74, 28, 6.655386e+05, 4.497853e+06, 2.295700e+01, 4.061500e+01,
MON75, 75, 2.910000e+01, 6.650421e+05, 4.496113e+06, 2.295100e+01, 4.059900e+01,
MON76, 76, 2.720000e+01, 6.667328e+05, 4.497067e+06, 2.297100e+01, 4.060800e+01,
MON77, 77, 2.710000e+01, 6.660798e+05, 4.498779e+06, 2.296400e+01, 4.062300e+01,
MON78, 78, 2.760000e+01, 6.659787e+05, 4.497804e+06, 2.296200e+01, 4.061400e+01,
MON79, 79, 28, 6.663411e+05, 4.496116e+06, 2.296600e+01, 4.059900e+01,
MON80, 80, 27, 6.667399e+05, 4.497433e+06, 2.297100e+01, 4.061100e+01,
MON81, 81, 2.740000e+01, 6.667796e+05, 4.496510e+06, 2.297100e+01, 4.060300e+01,
MON82, 82, 2.760000e+01, 6.663100e+05, 4.497052e+06, 2.296600e+01, 4.060800e+01,
MON83, 83, 2.670000e+01, 6.671817e+05, 4.497331e+06, 2.297600e+01, 4.061000e+01,
MON84, 84, 2.710000e+01, 6.667130e+05, 4.497323e+06, 2.297100e+01, 4.061000e+01,
MON85, 85, 27, 6.672273e+05, 4.496592e+06, 2.297700e+01, 4.060300e+01,
MON86, 86, 2.740000e+01, 6.669545e+05, 4.496163e+06, 2.297300e+01, 4.059900e+01,
MON87, 87, 2.640000e+01, 6.673945e+05, 4.497579e+06, 2.297900e+01, 4.061200e+01,
MON88, 88, 2.770000e+01, 6.664307e+05, 4.496607e+06, 2.296700e+01, 4.060400e+01,
MON89, 89, 2.780000e+01, 6.664531e+05, 4.496225e+06, 2.296700e+01, 4.060000e+01,
MON90, 90, 2.790000e+01, 6.662372e+05, 4.496528e+06, 2.296500e+01, 4.060300e+01,
MON91, 91, 2.780000e+01, 6.663457e+05, 4.496382e+06, 2.296600e+01, 4.060200e+01,
MON92, 92, 2.850000e+01, 6.662564e+05, 4.495032e+06, 2.296500e+01, 4.058900e+01,
MON93, 93, 2.850000e+01, 6.643760e+05, 4.499542e+06, 2.294400e+01, 4.063000e+01,
MON94, 94, 2.790000e+01, 6.650819e+05, 4.499274e+06, 2.295200e+01, 4.062800e+01,
MON95, 95, 2.880000e+01, 6.651498e+05, 4.496717e+06, 2.295200e+01, 4.060500e+01,
MON96, 96, 2.750000e+01, 6.667504e+05, 4.496456e+06, 2.297100e+01, 4.060200e+01,
MON97, 97, 2.760000e+01, 6.656502e+05, 4.498599e+06, 2.295800e+01, 4.062200e+01,
MON98, 98, 2.680000e+01, 6.671377e+05, 4.497265e+06, 2.297600e+01, 4.060900e+01,
MON99, 99, 2.630000e+01, 6.675528e+05, 4.497447e+06, 2.298100e+01, 4.061100e+01,
MON100, 100, 2.720000e+01, 6.670073e+05, 4.496417e+06, 2.297400e+01, 4.060200e+01,
MON101, 101, 2.770000e+01, 6.662180e+05, 4.496898e+06, 2.296500e+01, 4.060600e+01,
MON102, 102, 2.690000e+01, 6.670695e+05, 4.497177e+06, 2.297500e+01, 4.060900e+01,
MON103, 103, 2.740000e+01, 6.667323e+05, 4.496719e+06, 2.297100e+01, 4.060400e+01,
MON104, 104, 2.780000e+01, 6.657410e+05, 4.497729e+06, 2.295900e+01, 4.061400e+01,
MON105, 105, 2.690000e+01, 6.670179e+05, 4.497109e+06, 2.297400e+01, 4.060800e+01,
MON106, 106, 2.640000e+01, 6.673960e+05, 4.497621e+06, 2.297900e+01, 4.061200e+01,
MON107, 107, 2.790000e+01, 6.655005e+05, 4.498245e+06, 2.295700e+01, 4.061800e+01,
MON108, 108, 2.630000e+01, 6.674377e+05, 4.497719e+06, 2.297900e+01, 4.061300e+01,
MON109, 109, 2.680000e+01, 6.664556e+05, 4.498787e+06, 2.296800e+01, 4.062300e+01,
MON110, 110, 2.780000e+01, 6.657711e+05, 4.497774e+06, 2.296000e+01, 4.061400e+01,
MON111, 111, 28, 6.655504e+05, 4.497738e+06, 2.295700e+01, 4.061400e+01,
MON112, 112, 2.770000e+01, 6.657944e+05, 4.498004e+06, 2.296000e+01, 4.061600e+01,
MON113, 113, 2.630000e+01, 6.674880e+05, 4.497563e+06, 2.298000e+01, 4.061200e+01,
MON114, 114, 2.750000e+01, 6.659778e+05, 4.498075e+06, 2.296200e+01, 4.061700e+01,
MON115, 115, 2.780000e+01, 6.657391e+05, 4.497927e+06, 2.295900e+01, 4.061600e+01,
MON116, 116, 28, 6.649419e+05, 4.499381e+06, 2.295000e+01, 4.062900e+01,
